date,platform,keyword,rank,product
2026-08-05,bigbasket,disposable bowl,6,Disposable Bowl - 120 ml
2026-08-05,bigbasket,disposable bowl,12,Disposable Bowl - 250 ml
2026-08-05,bigbasket,disposable plates,5,Disposable Snack Plate - 26 cm
2026-08-05,bigbasket,disposable plates,7,"Party/Travel Disposable Combo - Plates, Spoons, Tissues"
2026-08-05,bigbasket,disposable plates,9,Disposable Meal Plate - 4 Compartment
2026-08-05,bigbasket,disposable plates,13,Disposable Meal Plate - 5 Compartment
2026-08-05,bigbasket,disposable plates,15,Disposable Snack Plate - 30 cm
2026-08-05,bigbasket,disposable plates,18,Disposable Snack Plate - 15 cm
2026-08-05,bigbasket,use and throw plate,6,Disposable Plate With Cutlery - 228.6 mm
2026-08-05,bigbasket,disposable spoon,4,Spoon Caddy 160 mm Disposable Wooden Spoon
2026-08-05,bigbasket,disposable spoon,5,"Party/Travel Disposable Combo - Plates, Spoons, Tissues"
2026-08-05,bigbasket,bagasse plates,2,Disposable Snack Plate - 26 cm
2026-08-05,bigbasket,bagasse plates,8,3 CP Meal Plate
2026-08-05,bigbasket,bagasse plates,11,Disposable Bowl - 120 ml
2026-08-05,bigbasket,bagasse plates,15,Disposable Meal Plate - 4 Compartment
2026-08-05,bigbasket,bagasse plates,20,Sugarcane Bagasse Meal Plate -8CP Meal Tray
2026-08-05,bigbasket,sugarcane clamshell,18,Disposable Bowl - 120 ml
2026-08-05,bigbasket,party tableware,8,"Party/Travel Disposable Combo - Plates, Spoons, Tissues"
