date,platform,internal_sku,city,units,revenue
2026-07-23,instamart,18503,ongole,1,99
2026-07-23,instamart,63565,central goa,2,378
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,78553,bangalore,1,99
2026-07-23,instamart,78553,noida 1,1,99
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,18506,mumbai,1,499
2026-07-23,instamart,78553,bangalore,3,297
2026-07-23,instamart,792937,mumbai,2,190
2026-07-23,instamart,78553,surat,1,99
2026-07-23,instamart,792937,bangalore,2,190
2026-07-23,instamart,78553,pune,1,99
2026-07-23,instamart,78553,chennai,1,99
2026-07-23,instamart,292876,bhopal,1,125
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,78553,central goa,1,99
2026-07-23,instamart,63565,pune,2,378
2026-07-23,instamart,18504,guntur,1,319
2026-07-23,instamart,18504,guntur,1,319
2026-07-23,instamart,18503,bangalore,1,99
2026-07-23,instamart,792937,central goa,1,95
2026-07-23,instamart,78553,chennai,2,198
2026-07-23,instamart,792937,central goa,1,95
2026-07-23,instamart,63565,mumbai,1,186
2026-07-23,instamart,78553,sonipat,1,99
2026-07-23,instamart,18503,mumbai,2,198
2026-07-23,instamart,18503,tirupati,1,99
2026-07-23,instamart,57850,bangalore,1,109
2026-07-23,instamart,18503,bangalore,1,99
2026-07-23,instamart,78553,bhopal,1,99
2026-07-23,instamart,63565,delhi,1,189
2026-07-23,instamart,18503,bangalore,1,99
2026-07-23,instamart,18506,chennai,2,998
2026-07-23,instamart,18503,delhi,1,99
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,197453,bangalore,1,169
2026-07-23,instamart,63565,pune,2,378
2026-07-23,instamart,18503,hyderabad,2,198
2026-07-23,instamart,78553,central goa,1,99
2026-07-23,instamart,18503,kolkata,1,99
2026-07-23,instamart,78553,mumbai,1,99
2026-07-23,instamart,18504,pune,1,319
2026-07-23,instamart,78553,warangal,1,99
2026-07-23,instamart,792937,mumbai,2,190
2026-07-23,instamart,68254,mumbai,2,298
2026-07-23,instamart,792937,bangalore,2,190
2026-07-23,instamart,18503,noida,1,99
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,63565,delhi,1,189
2026-07-23,instamart,792937,chennai,2,190
2026-07-23,instamart,18503,delhi,1,99
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,18504,chennai,1,319
2026-07-23,instamart,57850,kochi,1,109
2026-07-23,instamart,18504,hyderabad,2,638
2026-07-23,instamart,792937,pune,1,95
2026-07-23,instamart,68254,gurgaon,1,149
2026-07-23,instamart,18504,hyderabad,1,319
2026-07-23,instamart,792937,mumbai,3,285
2026-07-23,instamart,792937,gurgaon,2,190
2026-07-23,instamart,18504,pune,1,319
2026-07-23,instamart,197453,nagpur,1,169
2026-07-23,instamart,63565,chennai,1,189
2026-07-23,instamart,18506,gurgaon,2,998
2026-07-23,instamart,78553,noida 1,1,99
2026-07-23,instamart,63565,bangalore,2,378
2026-07-23,instamart,63565,mumbai,1,189
2026-07-23,instamart,63565,ludhiana,1,189
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,78553,bangalore,1,99
2026-07-23,instamart,68254,bangalore,1,149
2026-07-23,instamart,18503,delhi,1,99
2026-07-23,instamart,792937,mangaluru,1,95
2026-07-23,instamart,78553,nagpur,1,99
2026-07-23,instamart,78553,pune,1,99
2026-07-23,instamart,792937,hyderabad,1,95
2026-07-23,instamart,63565,manipal,1,189
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,68254,chennai,1,149
2026-07-22,instamart,78553,bangalore,1,99
2026-07-22,instamart,78553,bangalore,1,99
2026-07-22,instamart,792937,kurnool,2,190
2026-07-22,instamart,792937,pune,1,95
2026-07-22,instamart,18504,dibrugarh,1,319
2026-07-22,instamart,18506,mumbai,1,499
2026-07-22,instamart,68254,bangalore,1,149
2026-07-22,instamart,792937,bangalore,1,95
2026-07-22,instamart,68254,delhi,1,149
2026-07-22,instamart,63565,central goa,2,378
2026-07-22,instamart,63565,patna,1,189
2026-07-22,instamart,68254,chennai,1,149
2026-07-22,instamart,18503,bangalore,1,99
2026-07-23,instamart,68254,bangalore,1,149
2026-07-23,instamart,18503,kolkata,1,99
2026-07-23,instamart,18504,vizag,1,319
2026-07-23,instamart,68254,delhi,2,298
2026-07-23,instamart,63565,delhi,1,189
2026-07-23,instamart,78553,mumbai,1,99
2026-07-23,instamart,78553,bangalore,1,99
2026-07-23,instamart,792937,faridabad,1,92
2026-07-23,instamart,78553,chennai,1,99
2026-07-23,instamart,18503,manipal,1,99
2026-07-23,instamart,792937,pune,1,95
2026-07-23,instamart,18503,mysore,1,99
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,18503,delhi,1,99
2026-07-23,instamart,18504,faridabad,1,319
2026-07-23,instamart,18503,manipal,1,99
2026-07-23,instamart,197453,nagpur,1,169
2026-07-23,instamart,792937,chennai,1,95
2026-07-23,instamart,18503,bangalore,1,99
2026-07-23,instamart,68254,mumbai,1,149
2026-07-23,instamart,63565,lucknow,1,189
2026-07-23,instamart,78553,vizag,1,99
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,78553,bangalore,1,99
2026-07-23,instamart,78553,chennai,1,99
2026-07-23,instamart,78553,chennai,1,99
2026-07-23,instamart,63565,kolkata,1,189
2026-07-23,instamart,63565,chennai,2,378
2026-07-23,instamart,18504,karimnagar,1,319
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,792937,bangalore,1,95
2026-07-23,instamart,792937,noida,1,95
2026-07-23,instamart,18503,nellore,1,99
2026-07-23,instamart,792937,mumbai,2,190
2026-07-23,instamart,78553,mumbai,1,99
2026-07-23,instamart,78553,bangalore,1,99
2026-07-23,instamart,18504,kolkata,1,319
2026-07-23,instamart,68254,bangalore,1,149
2026-07-23,instamart,63565,bangalore,1,189
2026-07-23,instamart,63565,bangalore,2,378
2026-07-23,instamart,18504,bangalore,1,319
2026-07-23,instamart,18506,bangalore,2,998
